zone	zone_points	latitude	longitude
1	entry	28.353715	77.533662
	peak	28.354057	77.533566
	exit	28.354153	77.533815
2	entry	28.354215	77.534255
	peak	28.354394	77.534759
	exit	28.354574	77.534912
3	entry	28.356062	77.535518
	peak	28.356567	77.535728
	exit	28.356387	77.535914
4	entry	28.346178	77.539142
	peak	28.345511	77.539108
	exit	28.345619	77.538615
5	entry	28.347676	77.534438
	peak	28.34776	77.534063
	exit	28.347667	77.53383
6	entry	28.347248	77.533319
	peak	28.346994	77.533203
	exit	28.346841	77.533285
7	entry	28.346841	77.533285
	peak	28.346699	77.533399
	exit	28.346466	77.533432
8	entry	28.345394	77.533338
	peak	28.345098	77.533263
	exit	28.344916	77.532959
9	entry	28.344916	77.532959
	peak	28.344745	77.532687
	exit	28.344487	77.53258
10	entry	28.342609	77.532543
	peak	28.341901	77.532188
	exit	28.341829	77.531409
11	entry	28.342694	77.530589
	peak	28.343104	77.530533
	exit	28.343322	77.53069
12	entry	28.343491	77.530928
	peak	28.343736	77.531282
	exit	28.343968	77.53151
13	entry	28.345216	77.53232
	peak	28.345581	77.532487
	exit	28.346013	77.53231
14	entry	28.346377	77.53195
	peak	28.346497	77.531847
	exit	28.346654	77.531839
15	entry	28.348625	77.532035
	peak	28.349067	77.53232
	exit	28.349067	77.532848
16	entry	28.347909	77.535155
	peak	28.347763	77.53592
	exit	28.348104	77.535932
